source,target,weight
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC1NiEdJ7gk6FlDexIalWnGg,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCeQk-WfEA-cJRq4EKeE7TOw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCoGdCoJg2Lh0OX_jv6cG16g,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCheEJ5GZuIvV0fj-nXyVwXw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCtsxPYw8VUsH_FfnKg-0lmw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCWaRixDdpgllTBf4V0jPnKQ,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCgGqw4aqMdMVSGkKiMgrJRQ,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCql1n3Ey6ULMSOACjMe-fxQ,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC-Iul5tDYH_oiAMXQH-KaaQ,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC63tFvbQ_hJhGDi2nbjssjw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCZFQwqh90apuL8eFhvRBkUg,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCRfkkatKrNtAARnXMMYBGlA,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC14qlobYKqD-DO0j6b75lcA,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCjZgFEowMBrsjodqfovzdKw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC0HvfEWozTHbwl_iEmJNvVA,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCwxoKK59nGCeBqB2sXfDBIw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCa36MjQLoPAmgJo-R3G8WQA,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC3YpzAr7pcdKC7BVFEpYzog,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCp29O_C7cchZV8IxV7Crdag,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCV3fr-YOixFKCZBbJP1-X4w,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCFybmWapGvBKcQod7cPPH9w,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCEHXl4VvvVpq-_4xC5tsbhg,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UChyps3dqY-VY1_wLeq-2lhw,1
author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCiOZX__1gahg1ypIj0_XG_w,1
