source,target,weight,meaning
video::06mFNPU0aB8,author::UC2ngpd8UBQu4gcUYy0goAtg,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCAxvOOHQk7dYPOajzFEVtbA,2,comentarios del autor en el video
video::06mFNPU0aB8,author::UCIXLDYqR_syskKRJy_x9W9Q,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCLXYp1Cvc5DLtq5UQL5D9vw,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCO0zwwLWGyDgQmWPJ5Qrr1w,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCXN2s7DwTJm33xO-pNkAdaA,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UC_3xuTXvMIWU5MYP9HkJ3vQ,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCfXykdbSU97rj987LDUGfvg,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCfjhejO7LZy4doXURa7LZCQ,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCjZgFEowMBrsjodqfovzdKw,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCq3mDTTRZnUybct5M9OSXbg,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCvl1tzQeBeGy6efPTRJXSCw,1,comentarios del autor en el video
video::06mFNPU0aB8,author::UCwCfs-2zbD5k0lG-UVg_JBw,1,comentarios del autor en el video
video::3Nfp9h5avBI,author::UCJxJC56BSAX-ArD0NAb9qnQ,1,comentarios del autor en el video
video::3Nfp9h5avBI,author::UCyor0Mmm0ivLX2jIdyGp84Q,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC-HeUTT6_g-VoiWds2a4H-w,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC-Iul5tDYH_oiAMXQH-KaaQ,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC0HvfEWozTHbwl_iEmJNvVA,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC14qlobYKqD-DO0j6b75lcA,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC1NiEdJ7gk6FlDexIalWnGg,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC3YpzAr7pcdKC7BVFEpYzog,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UC63tFvbQ_hJhGDi2nbjssjw,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCEHXl4VvvVpq-_4xC5tsbhg,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCFybmWapGvBKcQod7cPPH9w,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCRfkkatKrNtAARnXMMYBGlA,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCV3fr-YOixFKCZBbJP1-X4w,5,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCWaRixDdpgllTBf4V0jPnKQ,2,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCWvntqPQx99k_Z_skWKqNSA,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCZFQwqh90apuL8eFhvRBkUg,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCa36MjQLoPAmgJo-R3G8WQA,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCaT4saRcyqCLE657Rq2hhZQ,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCeQk-WfEA-cJRq4EKeE7TOw,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCfo_yUPzy1f1POwwZxhZ06Q,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCgGqw4aqMdMVSGkKiMgrJRQ,1,comentarios del autor en el video
video::6W4u8sGEnGM,author::UCheEJ5GZuIvV0fj-nXyVwXw,1,comentarios del autor en el video
