ngram,frecuencia,probabilidad,n
presidente bernardo,9,0.0019189765458422175,2
bernardo arevalo,8,0.0017057569296375266,2
ciudad guatemala,6,0.001279317697228145,2
bla bla,5,0.0010660980810234541,2
nery rodas,5,0.0010660980810234541,2
pacto corruptos,5,0.0010660980810234541,2
busquen trabajo,4,0.0008528784648187633,2
comida nadie,4,0.0008528784648187633,2
dinero pueblo,4,0.0008528784648187633,2
guatemala saludos,4,0.0008528784648187633,2
lleva años,4,0.0008528784648187633,2
muriendo hambre,4,0.0008528784648187633,2
nada bueno,4,0.0008528784648187633,2
sería bueno,4,0.0008528784648187633,2
todos proyectos,4,0.0008528784648187633,2
apoyo presidente,3,0.0006396588486140725,2
blue peace,3,0.0006396588486140725,2
comunidad internacional,3,0.0006396588486140725,2
costillas pueblo,3,0.0006396588486140725,2
dios bendiga,3,0.0006396588486140725,2
diputado nery,3,0.0006396588486140725,2
excelente trabajo,3,0.0006396588486140725,2
ganan q,3,0.0006396588486140725,2
hacen nada,3,0.0006396588486140725,2
hand purple,3,0.0006396588486140725,2
ley competencia,3,0.0006396588486140725,2
libre mercado,3,0.0006396588486140725,2
nuestro país,3,0.0006396588486140725,2
nunca va,3,0.0006396588486140725,2
pagar dinero,3,0.0006396588486140725,2
