red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,channel_name,category,comentarios,autores_unicos,autores_compartidos,proporcion_audiencia_compartida,videos_conectados,canales_conectados,categorias_conectadas,view_count
proyeccion_videos,video::n8iP75gIpmw,n8iP75gIpmw,video,Qué rico come tu diputado,4,5.0,0.000541354799227981,0.02625570776255708,0.03420888821626137,1,10,Quorum,News & Politics,161,128,4,0.03125,4,3,2,11775
proyeccion_videos,video::ndAZjHqzzT8,ndAZjHqzzT8,video,Internet: escoger el menos malo,4,5.0,0.0003295203125735536,0.024257990867579907,0.031020770323055495,1,10,Quorum,News & Politics,12,10,3,0.3,4,1,1,717
proyeccion_videos,video::PjmxCj-a9Hg,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,2,2.0,0.0003295203125735536,0.018150684931506848,0.016990029421645163,1,10,Gobierno de la República de Guatemala,Entertainment,25,19,2,0.10526315789473684,2,2,2,3628
proyeccion_videos,video::j43HgwYFKfk,j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,3,4.0,0.00018829732147060207,0.024608610567514677,0.027066648272183497,1,10,Quorum,News & Politics,50,49,3,0.061224489795918366,3,2,1,10156
proyeccion_videos,video::6W4u8sGEnGM,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,2,2.0,0.00018829732147060207,0.015027723418134376,0.019576540197405182,1,10,Gobierno de la República de Guatemala,Entertainment,45,32,2,0.0625,2,2,2,11670
proyeccion_videos,video::yLZS3JiEBg8,yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,2,3.0,0.0,0.020689280278321374,0.01915512492622689,1,10,Quorum,News & Politics,16,16,2,0.125,2,1,1,1954
proyeccion_videos,video::WIUZtitfLRw,WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,2,2.0,0.0,0.01523972602739726,0.013553397469842807,1,10,Quorum,News & Politics,6,6,1,0.16666666666666666,2,1,1,422
proyeccion_videos,video::06mFNPU0aB8,06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,1,1.0,0.0,0.011176342683191998,0.011178867846426287,1,10,Noti7,News & Politics,14,13,1,0.07692307692307693,1,1,1,6692
proyeccion_videos,video::b_Hkrkl3adA,b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,1,1.0,0.0,0.015011415525114154,0.008673237454790973,1,10,PrensaLibreOficial,News & Politics,7,7,1,0.14285714285714285,1,1,1,5469
proyeccion_videos,video::is3Mk5oC19g,is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,1,1.0,0.0,0.014410741465535986,0.00860902195325891,1,10,TN23 Guatemala,News & Politics,7,7,1,0.14285714285714285,1,1,1,4616
proyeccion_videos,video::-5puKGEqcUc,-5puKGEqcUc,video,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,2,1,T13 Noticias Guatemala,News & Politics,0,0,0,0.0,0,0,0,2357
proyeccion_videos,video::-E7OPOLjMug,-E7OPOLjMug,video,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,0,0.0,0.0,0.0,0.0028620758795720952,3,1,IDocumenta,People & Blogs,0,0,0,0.0,0,0,0,4
proyeccion_videos,video::-KDglrIzRKo,-KDglrIzRKo,video,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,0,0.0,0.0,0.0,0.0028620758795720952,4,1,México Poder,People & Blogs,0,0,0,0.0,0,0,0,29736
proyeccion_videos,video::-O4Pa7qS9WQ,-O4Pa7qS9WQ,video,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",0,0.0,0.0,0.0,0.0028620758795720952,5,1,Guate Maya Trip,Nonprofits & Activism,0,0,0,0.0,0,0,0,383
proyeccion_videos,video::0LTLUY7LBlA,0LTLUY7LBlA,video,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",0,0.0,0.0,0.0,0.0028620758795720952,6,1,De viaje con Migue,Travel & Events,0,0,0,0.0,0,0,0,6099
proyeccion_videos,video::0a4_g1R1-aA,0a4_g1R1-aA,video,Acciones relevantes en el #Resumen24Horas,0,0.0,0.0,0.0,0.0028620758795720952,7,1,PNCdeGuatemala,Science & Technology,0,0,0,0.0,0,0,0,15455
proyeccion_videos,video::0b2vfzXdCqs,0b2vfzXdCqs,video,Cadena Nacional del presidente Bernardo Arévalo,0,0.0,0.0,0.0,0.0028620758795720952,8,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,2725
proyeccion_videos,video::0eiVPMexNOo,0eiVPMexNOo,video,CONRED se pronuncia tras sismos en el territorio nacional,0,0.0,0.0,0.0,0.0028620758795720952,9,1,TN23 Guatemala,News & Politics,0,0,0,0.0,0,0,0,1875
proyeccion_videos,video::0iQD8zHxZIg,0iQD8zHxZIg,video,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,0,0.0,0.0,0.0,0.0028620758795720952,10,1,Tras la Verdad SV,News & Politics,0,0,0,0.0,0,0,0,36701
proyeccion_videos,video::1-hr8eCOt_I,1-hr8eCOt_I,video,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,0,0.0,0.0,0.0,0.0028620758795720952,11,1,AztecaGuate,Entertainment,0,0,0,0.0,0,0,0,289
proyeccion_videos,video::1HQLJycvzaQ,1HQLJycvzaQ,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0.0,0.0,0.0,0.0028620758795720952,12,1,Gobierno de la República de Guatemala,Entertainment,0,0,0,0.0,0,0,0,1175
