comment_id,author_channel_id,video_id,community
Ugw-J65a1iYL9hqhELh4AaABAg,UCdFlugHJJa4l3YqWuNRmvXw,j43HgwYFKfk,3
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,UCvl1tzQeBeGy6efPTRJXSCw,06mFNPU0aB8,2
Ugw0xaOb2CYXXoudtwJ4AaABAg,UCRAquv8el-tQ30bN7MlmySQ,j43HgwYFKfk,3
Ugw0xgUc2ISpBr5_T654AaABAg,UCkbsS_3D-pvg1iHOld9uvIg,j43HgwYFKfk,3
Ugw1ZzA21njWhaqQQTh4AaABAg,UCOLHH4ZpMxPYF-Q6e6wvn5A,OkXlHx0hx-8,6
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,UCi2KiZq63sRq8Mfbcp-MelQ,OkXlHx0hx-8,6
Ugw2014OIYf336oytFt4AaABAg,UCXl30Y_upRqbti52fmjK4YA,yLZS3JiEBg8,4
Ugw2bSVOoNn2pc8ZcUl4AaABAg,UCRelkU8JiZBytTzebJxaa-w,n8iP75gIpmw,1
Ugw3gnUvLp6AqO0_odt4AaABAg,UCgLurCo-e019HGODcjXHWCw,lj983NWyAQY,5
Ugw4C1ijI36l6LAiSZh4AaABAg,UCDIMztpVm7G27qBuiWuT6oQ,n8iP75gIpmw,1
Ugw4St_YnT9_Ya5xSPt4AaABAg,UCZOmq6MwFDVoCaEl99BRRaw,ndAZjHqzzT8,4
Ugw4ccnmIWJaE6VNRWN4AaABAg,UCFybmWapGvBKcQod7cPPH9w,6W4u8sGEnGM,2
Ugw5E402-fn52PLXFIJ4AaABAg,UCh5ESQvtzyHDhCA7XyekCFA,n8iP75gIpmw,1
Ugw5URsiAF9QVoniY-l4AaABAg,UCWIZUtKJ636y-4TYrNvok0g,n8iP75gIpmw,1
Ugw5xMAuDaygo77ynI94AaABAg,UCzoL2l5H5eVlorWGH8AZfAg,n8iP75gIpmw,1
Ugw6cfXYfV4H-asKlDR4AaABAg,UCKVzDUqbtdSMBcexaEtMmzQ,TT4qJ5FXHYE,8
Ugw74asIfir0_SVC6OB4AaABAg,UCNpt5CQlTzNjlAKY6CJtClQ,j43HgwYFKfk,3
Ugw86zOgTwKzYotlT9l4AaABAg,UCut6b9S98nv84cVX89PmKzA,n8iP75gIpmw,1
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,UCQyOePccUP-fIJYzchAgZYw,j43HgwYFKfk,3
Ugw8pyxscJNUQpfoKuF4AaABAg,UCOLGv5Pf6BF2wFcwUzgcvHg,n8iP75gIpmw,1
Ugw9_Qw_QaSdggWuKJt4AaABAg,UCAxvOOHQk7dYPOajzFEVtbA,06mFNPU0aB8,2
Ugw9eye2GML6RHRSu-14AaABAg,UCQ_-LPP8JAbfkc-b1Q6NvWw,n8iP75gIpmw,1
UgwA5aTmgACLCuTUT494AaABAg,UCXmrpc6Li0spcKxtS0Q_ptg,lj983NWyAQY,5
UgwARHTnVAzzPrHbNox4AaABAg,UCZ51R_9Q9C0c8I3pAWhtmjQ,n8iP75gIpmw,1
UgwCW5PErySUmwse3bZ4AaABAg,UCxhtlxPV8AYWaNNyU6S9H8Q,OkXlHx0hx-8,6
UgwCfRlzeiXz172UQQV4AaABAg,UCvcu1kR8xMYy_I1Ty-2mV2Q,yLZS3JiEBg8,4
UgwCw9bhAw6suYQfCWx4AaABAg,UCaKAjTW9MVub_clgr4DRYjQ,j43HgwYFKfk,3
UgwEOUk-ofXNqkHW5Cx4AaABAg,UCxff05WuyvwELNITi7bj7UA,n8iP75gIpmw,1
UgwEQHx8Ik7SbxBTQ914AaABAg,UCZLG9qH0tUjNhEGFIUt0CYw,n8iP75gIpmw,1
UgwEjfj5ueeimHg-Hbt4AaABAg,UCwgCc9Jd_gG-uLE_SY-FfPg,j43HgwYFKfk,3
UgwG3XiEgFlHKtrtTqd4AaABAg,UCXSkL3ejZ8qWYyF_M7s_QKA,n8iP75gIpmw,1
UgwGm1V-_GN1ZPcijdl4AaABAg,UChs3tU2BcKOT0CezykvAsGw,n8iP75gIpmw,1
UgwHY5LtTiQ0lBONp8N4AaABAg,UC6PvO1_k5lHKGdAPo5_C6TA,n8iP75gIpmw,1
UgwIB06iEQnFOFLc9et4AaABAg,UCwxoKK59nGCeBqB2sXfDBIw,6W4u8sGEnGM,2
UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,UCWaRixDdpgllTBf4V0jPnKQ,6W4u8sGEnGM,2
UgwIBBqN6fh6MURkwkN4AaABAg,UCkVtmkK07b2zaVVNssX4lOg,j43HgwYFKfk,3
UgwIiqrp6EYNoFmnBAR4AaABAg,UCN6qbfPSzFtjhqUDZ3Cv3CQ,n8iP75gIpmw,1
UgwIlv8gtF3WKYfHSJJ4AaABAg,UC95PSMouTx2N5CbSq0hIyrQ,j43HgwYFKfk,3
UgwJ4UehO5E4j0niJU14AaABAg,UCueV9cTyTDwgQSec1x2dYgA,n8iP75gIpmw,1
UgwJMFYT7I9czw_oa0V4AaABAg,UC5H8ASmMC9WrURmzeB4ySog,n8iP75gIpmw,1
UgwJN55EmMcKPRb_AfB4AaABAg,UCHhHUjaMAZ8SiXdCUCj9DkQ,n8iP75gIpmw,1
UgwKjHT5lyjLiqR9ym94AaABAg,UCgvw7xIdGFupzpt1Y_BFkEA,n8iP75gIpmw,1
UgwL_UlN82zRUeNgVDh4AaABAg,UCeDNEtI8_a42bZ47wJiJMwQ,j43HgwYFKfk,3
UgwMfCTNaiukOxMqfON4AaABAg,UCiOZX__1gahg1ypIj0_XG_w,6W4u8sGEnGM,2
UgwNvErOoJ_qRYF6TB94AaABAg,UCqCrvuoJpC-aVb0f4logQRQ,j43HgwYFKfk,3
UgwO8kzHC551ofxNYCV4AaABAg,UCld2stqxaVSk0QdGncM224A,TT4qJ5FXHYE,8
UgwPCZZx2gI444cg2AV4AaABAg,UCpIdtvoFHVLGASGB5ySqIEA,n8iP75gIpmw,1
UgwRLgDGrh-_TEVNOYh4AaABAg,UCtiHFjFu7d5v2XxHnKFUYig,OkXlHx0hx-8,6
UgwSt406Q1HWBWCewI14AaABAg,UCWvntqPQx99k_Z_skWKqNSA,6W4u8sGEnGM,2
UgwSt406Q1HWBWCewI14AaABAg.Aa-KmSVE5UgAa-M7iXQwik,UCoGdCoJg2Lh0OX_jv6cG16g,6W4u8sGEnGM,2
UgwTyYcT2aNvGA5DK4J4AaABAg,UChgkn5Jt5tWKYMoEOuCjz3Q,n8iP75gIpmw,1
UgwUZL4XYbr2lbEi1r94AaABAg,UCiC-Jn7wdgyQV4_Urk0DkWQ,j43HgwYFKfk,3
UgwXm2HjtCzRKiDHflJ4AaABAg,UCQIdKuZ-OzuFqy0KjGrgesg,JkpVO1hx2f8,9
UgwY0wdDJRzHsTCnLbN4AaABAg,UCXr8_5WtGeipe4haOoQDgyQ,n8iP75gIpmw,1
UgwY2FW-3sBGV2CGxaJ4AaABAg,UC_3xuTXvMIWU5MYP9HkJ3vQ,06mFNPU0aB8,2
UgwYTL5-XYvmQxsC3Bt4AaABAg,UCFjudnPLoaSL1BaRuLahyHg,n8iP75gIpmw,1
UgwYaHf9EYIl5Pf-y514AaABAg,UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,1
UgwZw9X6DpxCIJ6YkXZ4AaABAg,UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,2
Ugw_g00Bv3m-cnSxhMp4AaABAg,UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,6
Ugw_wfk-1nUcdyG3muZ4AaABAg,UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,1
UgwaGYcI3FekgL1PZct4AaABAg,UCOcUI5XkTYNMSFhZNMIPpGg,j43HgwYFKfk,3
UgwaokeDKlLgSdqHpW94AaABAg,UCOS8ViEkccrTZx2w2ccxotA,n8iP75gIpmw,1
Ugwbnz3tRoBa7Vs3A3d4AaABAg,UC3iIU62XKUOWuqL8BqBzj9A,b_Hkrkl3adA,7
Ugwc0TMrFYylioxh_Sh4AaABAg,UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,2
UgwcF8V3__81jxC8Eh14AaABAg,UCmjppp6ujz3SAnULvP3sZMw,n8iP75gIpmw,1
UgwdC_aDdYB1wpgGNAt4AaABAg,UC5PyGvSfFM--OVKmQ3COu6g,lj983NWyAQY,5
Ugwe0V0ssRP-r167Lzh4AaABAg,UCQqetiwzzmRNTM5OWuXarGQ,n8iP75gIpmw,1
UgwgSP2G2qKwGGl5CSp4AaABAg,UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,2
UgwgoKatyznihVvDVVd4AaABAg,UCCaYwkkbQGcvFoUmothVdQQ,n8iP75gIpmw,1
