community,authors,comments,videos,channels,top_terms,top_videos,top_channels,top_categories,algoritmo,modularidad_global,aristas_internas,aristas_externas,densidad_interna,grado_medio_interno,puntos_articulacion_internos,autor_top_intermediacion,intermediacion_top,caida_componente_mayor_pct,dependiente_de_pocos_nodos,es_principal,n_comentarios,negativos,neutrales,positivos,pct_negativo,pct_neutral,pct_positivo,confianza_media,baja_confianza_n,sentimiento_dominante,muestra_interpretable,lectura_sentimiento
1,126,161,3,3,"pueblo, dinero, diputados, trabajo, diputado, q, sueldo, tienen",Qué rico come tu diputado | Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales | Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Quorum | PrensaLibreOficial | Gobierno de la República de Guatemala,News & Politics | Entertainment,Louvain ponderado,0.3949028012418394,7875,276,1.0,125.0,0,@virgiliogarcia3039,0.2390185846379199,0.7936507936507936,False,True,161,130,22,9,80.74534161490683,13.664596273291925,5.590062111801243,0.8387151923238861,18,negativo,True,"negativo (neg. 80.7 %, neu. 13.7 %, pos. 5.6 %)"
2,61,83,3,2,"presidente, guatemala, país, años, arevalo, ni, bernardo, salvador",Inician los trabajos de recuperación del Puente Belice II. | Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt | Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Gobierno de la República de Guatemala | Noti7,Entertainment | News & Politics,Louvain ponderado,0.3949028012418394,727,18,0.3972677595628415,23.83606557377049,2,@josegil3813,0.1826604412707131,29.508196721311474,True,True,83,37,23,23,44.57831325301205,27.710843373493976,27.710843373493976,0.7892382593758135,17,negativo,True,"negativo (neg. 44.6 %, neu. 27.7 %, pos. 27.7 %)"
3,55,60,4,2,"usac, corruptos, universidad, estudiantes, información, excelente, fuera, pueblo",La cooptación de Walter Mazariegos en la USAC | Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu | Qué rico come tu diputado,Quorum | TN23 Guatemala,News & Politics,Louvain ponderado,0.3949028012418394,1197,261,0.806060606060606,43.52727272727272,1,@inge_vergueta,0.2202783118190973,1.818181818181818,True,True,60,37,11,12,61.666666666666664,18.333333333333332,20.0,0.8046357686320941,9,negativo,True,"negativo (neg. 61.7 %, neu. 18.3 %, pos. 20.0 %)"
4,28,33,3,1,"excelente, empresas, solo, internet, ley, país, aquí, competencia",Arroz con pollo a la MONOPOLIO | Internet: escoger el menos malo | Caminar en una ciudad hecha para carros,Quorum,News & Politics,Louvain ponderado,0.3949028012418394,170,9,0.4497354497354497,12.142857142857142,1,@hashojea7348,0.0574018126888217,21.428571428571427,True,False,33,17,8,8,51.515151515151516,24.242424242424242,24.242424242424242,0.824496073253227,7,negativo,True,"negativo (neg. 51.5 %, neu. 24.2 %, pos. 24.2 %)"
5,25,25,1,1,"guatemala, ciudad, saludos, todos, viva, proyectos, tiempo, q",Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,Louvain ponderado,0.3949028012418394,300,0,1.0,24.0,0,@carlosoliva9249,0.0,4.0,False,False,25,2,2,21,8.0,8.0,84.0,0.8679102826118469,1,positivo,True,"positivo (neg. 8.0 %, neu. 8.0 %, pos. 84.0 %)"
6,18,25,1,1,"you, usa, pais, otros, país, if, to, ver",EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,Louvain ponderado,0.3949028012418394,153,0,1.0,17.0,0,@WilR-s8r,0.0,5.555555555555555,False,False,25,17,6,2,68.0,24.0,8.0,0.732406634092331,8,negativo,True,"negativo (neg. 68.0 %, neu. 24.0 %, pos. 8.0 %)"
7,6,6,1,1,"asquerosos, gasolina, subira, guerra, países, guatemala, galón, país",Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,Louvain ponderado,0.3949028012418394,15,6,1.0,5.0,0,@Hernandez-i1o,0.0,16.666666666666668,False,False,6,5,1,0,83.33333333333333,16.666666666666668,0.0,0.8857669035593668,0,negativo,True,"negativo (neg. 83.3 %, neu. 16.7 %, pos. 0.0 %)"
8,4,4,1,1,"iniciativa, juego, excelente, ve, deporte, dinamico, ni, entretenido","I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,Louvain ponderado,0.3949028012418394,6,0,1.0,3.0,0,@taniagabrielacelis8434,0.0,25.0,True,False,4,1,0,3,25.0,0.0,75.0,0.9571459293365479,0,positivo,False,muestra menor que 5; lectura solo descriptiva
9,3,3,1,1,"guatemala, solo, cambia, dictadura, cada, años, vi, semilla",10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,Louvain ponderado,0.3949028012418394,3,0,1.0,2.0,0,@ninettmartinez425,0.0,33.333333333333336,True,False,3,1,0,2,33.333333333333336,0.0,66.66666666666667,0.7686580816904703,0,positivo,False,muestra menor que 5; lectura solo descriptiva
10,2,2,1,1,"persona, encargada, ecosistema, ayude, problema, q, recuerdos, dejando","Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,Louvain ponderado,0.3949028012418394,1,0,1.0,1.0,0,@MiguelJordan-n3g,0.0,50.0,True,False,2,1,1,0,50.0,50.0,0.0,0.8795388042926788,0,negativo,False,muestra menor que 5; lectura solo descriptiva
