comunidad,autores,aristas_internas,aristas_externas,densidad_interna,grado_medio_interno,puntos_articulacion_internos,autor_top_intermediacion,intermediacion_top,caida_componente_mayor_pct,dependiente_de_pocos_nodos,es_principal,algoritmo,modularidad_global
1,126,7875,276,1.0,125.0,0,@virgiliogarcia3039,0.23901858463791997,0.7936507936507936,False,True,Louvain ponderado,0.3949028012418394
2,61,727,18,0.39726775956284155,23.83606557377049,2,@josegil3813,0.18266044127071318,29.508196721311474,True,True,Louvain ponderado,0.3949028012418394
3,55,1197,261,0.806060606060606,43.527272727272724,1,@inge_vergueta,0.22027831181909732,1.8181818181818181,True,True,Louvain ponderado,0.3949028012418394
4,28,170,9,0.4497354497354497,12.142857142857142,1,@hashojea7348,0.05740181268882175,21.428571428571427,True,False,Louvain ponderado,0.3949028012418394
5,25,300,0,1.0,24.0,0,@carlosoliva9249,0.0,4.0,False,False,Louvain ponderado,0.3949028012418394
6,18,153,0,1.0,17.0,0,@WilR-s8r,0.0,5.555555555555555,False,False,Louvain ponderado,0.3949028012418394
7,6,15,6,1.0,5.0,0,@Hernandez-i1o,0.0,16.666666666666668,False,False,Louvain ponderado,0.3949028012418394
8,4,6,0,1.0,3.0,0,@taniagabrielacelis8434,0.0,25.0,True,False,Louvain ponderado,0.3949028012418394
9,3,3,0,1.0,2.0,0,@ninettmartinez425,0.0,33.333333333333336,True,False,Louvain ponderado,0.3949028012418394
10,2,1,0,1.0,1.0,0,@MiguelJordan-n3g,0.0,50.0,True,False,Louvain ponderado,0.3949028012418394
