red,node,node_id,node_type,label,grado,aristas_eliminadas,componentes_antes,componentes_despues,componentes_nuevos,componente_mayor_antes,componente_mayor_despues,cambio_componente_mayor_pct,fragmentacion_antes,fragmentacion_despues,incremento_fragmentacion,es_punto_articulacion
proyeccion_autores,author::UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,145,145,10,11,1,276,214,-22.463768115942027,0.30169367389911195,0.540712258537032,0.23901858463792003,True
proyeccion_autores,author::UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,49,49,10,11,1,276,232,-15.942028985507246,0.30169367389911195,0.4843541151698252,0.18266044127071324,True
proyeccion_autores,author::UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,183,183,10,11,1,276,247,-10.507246376811594,0.30169367389911195,0.4283255515883915,0.12663187768927953,True
proyeccion_autores,author::UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,43,43,10,11,1,276,263,-4.7101449275362315,0.30169367389911195,0.3594799963380024,0.05778632243889048,True
proyeccion_autores,author::UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,54,54,10,11,1,276,269,-2.536231884057971,0.30169367389911195,0.3312459946901034,0.02955232079099146,True
proyeccion_autores,author::UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,133,133,10,11,1,276,269,-2.536231884057971,0.30169367389911195,0.3312459946901034,0.02955232079099146,True
proyeccion_autores,author::UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,28,28,10,11,1,276,270,-2.1739130434782608,0.30169367389911195,0.3264121578320974,0.02471848393298548,True
proyeccion_videos,video::n8iP75gIpmw,n8iP75gIpmw,video,Qué rico come tu diputado,4,4,284,286,2,10,5,-50.0,0.9991526620533823,0.9996940168526103,0.000541354799228011,True
proyeccion_videos,video::PjmxCj-a9Hg,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,2,2,284,285,1,10,7,-30.0,0.9991526620533823,0.9994821823659559,0.0003295203125736057,True
proyeccion_videos,video::ndAZjHqzzT8,ndAZjHqzzT8,video,Internet: escoger el menos malo,4,4,284,285,1,10,7,-30.0,0.9991526620533823,0.9994821823659559,0.0003295203125736057,True
proyeccion_videos,video::6W4u8sGEnGM,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,2,2,284,285,1,10,8,-20.0,0.9991526620533823,0.9993409593748529,0.00018829732147063183,True
