node,node_id,node_type,bipartite,label,channel_id,channel_name,category,view_count,comments_total,author_handle,videos_count
video::-5puKGEqcUc,-5puKGEqcUc,video,1,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,News & Politics,2357.0,0,,
video::-E7OPOLjMug,-E7OPOLjMug,video,1,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,People & Blogs,4.0,0,,
video::-KDglrIzRKo,-KDglrIzRKo,video,1,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,UC-DpoeBbCMOMOH1-j71KPqA,México Poder,People & Blogs,29736.0,0,,
video::-O4Pa7qS9WQ,-O4Pa7qS9WQ,video,1,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,Nonprofits & Activism,383.0,0,,
video::06mFNPU0aB8,06mFNPU0aB8,video,1,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,6692.0,14,,
video::0LTLUY7LBlA,0LTLUY7LBlA,video,1,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,Travel & Events,6099.0,0,,
video::0a4_g1R1-aA,0a4_g1R1-aA,video,1,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,15455.0,0,,
video::0b2vfzXdCqs,0b2vfzXdCqs,video,1,Cadena Nacional del presidente Bernardo Arévalo,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,2725.0,0,,
video::0eiVPMexNOo,0eiVPMexNOo,video,1,CONRED se pronuncia tras sismos en el territorio nacional,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,1875.0,0,,
video::0iQD8zHxZIg,0iQD8zHxZIg,video,1,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,News & Politics,36701.0,0,,
