red,node,node_type,degree,weighted_degree
bipartita_autor_video,video::-5puKGEqcUc,video,0,0
bipartita_autor_video,video::-E7OPOLjMug,video,0,0
bipartita_autor_video,video::-KDglrIzRKo,video,0,0
bipartita_autor_video,video::-O4Pa7qS9WQ,video,0,0
bipartita_autor_video,video::0LTLUY7LBlA,video,0,0
bipartita_autor_video,video::0a4_g1R1-aA,video,0,0
bipartita_autor_video,video::0b2vfzXdCqs,video,0,0
bipartita_autor_video,video::0eiVPMexNOo,video,0,0
bipartita_autor_video,video::0iQD8zHxZIg,video,0,0
bipartita_autor_video,video::1-hr8eCOt_I,video,0,0
bipartita_autor_video,video::1HQLJycvzaQ,video,0,0
bipartita_autor_video,video::1kSG-naIgqk,video,0,0
bipartita_autor_video,video::1w9faaYjhyU,video,0,0
bipartita_autor_video,video::1y61Kb9uSbg,video,0,0
bipartita_autor_video,video::1yHN9Ci7pXs,video,0,0
bipartita_autor_video,video::2iqOSL9YguA,video,0,0
bipartita_autor_video,video::2n31FhKmELI,video,0,0
bipartita_autor_video,video::2p23yPpu6aQ,video,0,0
bipartita_autor_video,video::3-jKER3zqcA,video,0,0
bipartita_autor_video,video::3LAwISMokIg,video,0,0
bipartita_autor_video,video::3P2OUk7aGmc,video,0,0
bipartita_autor_video,video::3S3KygWSjAQ,video,0,0
bipartita_autor_video,video::3bU7I_ZpXUk,video,0,0
bipartita_autor_video,video::3onMfRym3OU,video,0,0
bipartita_autor_video,video::45xQLtMlPdo,video,0,0
bipartita_autor_video,video::4DD1nlxWk2s,video,0,0
bipartita_autor_video,video::4FUed7cIhPU,video,0,0
bipartita_autor_video,video::4H6w9FQAcS8,video,0,0
bipartita_autor_video,video::5DRG-WGTq1k,video,0,0
bipartita_autor_video,video::5MFnG5B7ric,video,0,0
bipartita_autor_video,video::5OhxjDvuYbQ,video,0,0
bipartita_autor_video,video::5UNxNfcSzG4,video,0,0
bipartita_autor_video,video::5Y7fntl6Rc8,video,0,0
bipartita_autor_video,video::5nw9G1vwnYY,video,0,0
bipartita_autor_video,video::677N9cx_kKE,video,0,0
bipartita_autor_video,video::6KlI_geqPOI,video,0,0
bipartita_autor_video,video::6Wf0ItQUaDU,video,0,0
bipartita_autor_video,video::6y3KQmmg3Oc,video,0,0
bipartita_autor_video,video::6z2Psav9Onw,video,0,0
bipartita_autor_video,video::74F3Mn_NWoE,video,0,0
bipartita_autor_video,video::7JerBdHtkWA,video,0,0
bipartita_autor_video,video::7hfUg8Z-W2o,video,0,0
bipartita_autor_video,video::7kuHyjwuE_o,video,0,0
bipartita_autor_video,video::7mdtGeIHQnE,video,0,0
bipartita_autor_video,video::8CuQ2_HTaN0,video,0,0
bipartita_autor_video,video::8n6momRcC04,video,0,0
bipartita_autor_video,video::90oVm0P4_9Q,video,0,0
bipartita_autor_video,video::9BIrwWQUdb8,video,0,0
bipartita_autor_video,video::9Jacxvi9umU,video,0,0
bipartita_autor_video,video::9XFVeHiWDTo,video,0,0
bipartita_autor_video,video::9h7d1iDFaqo,video,0,0
bipartita_autor_video,video::9wHujSu-nbQ,video,0,0
bipartita_autor_video,video::AHzfpOL5sgw,video,0,0
bipartita_autor_video,video::Aa7hIDCRh3g,video,0,0
bipartita_autor_video,video::AakUTlieyH0,video,0,0
bipartita_autor_video,video::Ab0RrbzxyBU,video,0,0
bipartita_autor_video,video::AlbPEU3rbZs,video,0,0
bipartita_autor_video,video::ArljwpsURdY,video,0,0
bipartita_autor_video,video::B60bWqpVUIE,video,0,0
bipartita_autor_video,video::BLc_KXPng9g,video,0,0
bipartita_autor_video,video::BUNeDEi0yVU,video,0,0
bipartita_autor_video,video::BW41jT3t3oI,video,0,0
bipartita_autor_video,video::BbAeamItalk,video,0,0
bipartita_autor_video,video::Bdn2nxDqQ90,video,0,0
bipartita_autor_video,video::Bi34XvRV6AM,video,0,0
bipartita_autor_video,video::BnZFUzpEDe4,video,0,0
bipartita_autor_video,video::Boj5GILjbI0,video,0,0
bipartita_autor_video,video::Bp4LtQT8Hk0,video,0,0
bipartita_autor_video,video::C5hJmAhpMMQ,video,0,0
bipartita_autor_video,video::C8wk4HWwWyM,video,0,0
bipartita_autor_video,video::CDg6kLRfiqQ,video,0,0
bipartita_autor_video,video::CJQ46Hr4HcU,video,0,0
