red,node,node_id,node_type,label,grado,componente_tamano
proyeccion_autores,author::UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,183,276
proyeccion_autores,author::UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,145,276
proyeccion_autores,author::UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,133,276
proyeccion_autores,author::UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,54,276
proyeccion_autores,author::UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,49,276
proyeccion_autores,author::UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,43,276
proyeccion_autores,author::UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,28,276
proyeccion_videos,video::n8iP75gIpmw,n8iP75gIpmw,video,Qué rico come tu diputado,4,10
proyeccion_videos,video::ndAZjHqzzT8,ndAZjHqzzT8,video,Internet: escoger el menos malo,4,10
proyeccion_videos,video::j43HgwYFKfk,j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,3,10
proyeccion_videos,video::6W4u8sGEnGM,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,2,10
proyeccion_videos,video::PjmxCj-a9Hg,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,2,10
