community,n_comentarios,negativos,neutrales,positivos,prob_negativo_media,prob_neutral_media,prob_positivo_media,confianza_media,baja_confianza_n,pct_negativo,pct_neutral,pct_positivo,sentimiento_dominante,muestra_interpretable,minimo_muestra
1.0,161,130,22,9,0.7412695834870155,0.18399917604459554,0.07473123706125231,0.8387152206453478,18,80.74534161490683,13.664596273291925,5.590062111801243,negativo,True,3
2.0,83,37,23,23,0.4557475935785571,0.2670653591448643,0.2771870419887983,0.7892382532717234,17,44.57831325301205,27.710843373493976,27.710843373493976,negativo,True,3
3.0,60,37,11,12,0.5584539151284844,0.22464682933253546,0.21689925270232682,0.8046357760826747,9,61.666666666666664,18.333333333333332,20.0,negativo,True,3
4.0,33,17,8,8,0.5091233032219338,0.20896593080551334,0.28191075995423354,0.8244961202144623,7,51.515151515151516,24.242424242424242,24.242424242424242,negativo,True,3
5.0,25,2,2,21,0.09564085179939866,0.14484632305800915,0.7595128253661096,0.8679102921485901,1,8.0,8.0,84.0,positivo,True,3
6.0,25,17,6,2,0.6108523274213076,0.26670075561851264,0.12244692903012037,0.7324066472053528,8,68.0,24.0,8.0,negativo,True,3
7.0,6,5,1,0,0.786795179049174,0.19653425831347704,0.016670557592685025,0.885766883691152,0,83.33333333333333,16.666666666666668,0.0,negativo,True,3
8.0,4,1,0,3,0.2484174573328346,0.037310891319066286,0.7142716333619319,0.9571458697319031,0,25.0,0.0,75.0,positivo,True,3
,4,1,1,2,0.28224526526173577,0.21609571808949113,0.5016589970327914,0.7665141373872757,1,25.0,25.0,50.0,positivo,True,3
9.0,3,1,0,2,0.26593056072791416,0.20306262001395226,0.531006820499897,0.7686582605044047,0,33.333333333333336,0.0,66.66666666666667,positivo,True,3
10.0,2,1,1,0,0.5565643012523651,0.40998714603483677,0.03344861255027354,0.8795387446880341,0,50.0,50.0,0.0,negativo,False,3
