ngram,frecuencia,probabilidad,n
pueblo,56,0.01100196463654224,1
guatemala,52,0.010216110019646365,1
dinero,34,0.0066797642436149315,1
solo,33,0.006483300589390962,1
todos,33,0.006483300589390962,1
presidente,32,0.006286836935166994,1
país,31,0.006090373280943025,1
q,31,0.006090373280943025,1
trabajo,30,0.005893909626719057,1
diputados,28,0.00550098231827112,1
corruptos,24,0.004715127701375246,1
tienen,24,0.004715127701375246,1
hacer,23,0.004518664047151277,1
diputado,22,0.004322200392927309,1
nada,22,0.004322200392927309,1
bueno,21,0.0041257367387033395,1
excelente,21,0.0041257367387033395,1
pais,21,0.0041257367387033395,1
ni,20,0.003929273084479371,1
dios,17,0.0033398821218074658,1
sueldo,17,0.0033398821218074658,1
ahora,16,0.003143418467583497,1
bien,14,0.00275049115913556,1
hacen,14,0.00275049115913556,1
otros,14,0.00275049115913556,1
van,14,0.00275049115913556,1
ver,14,0.00275049115913556,1
así,13,0.002554027504911591,1
años,13,0.002554027504911591,1
personas,13,0.002554027504911591,1
